Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
2/14/2026,15:08:00,Saturday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
2/14/2026,15:10:00,Saturday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
2/14/2026,16:00:00,Saturday,President Schedule,The President participates in Private Meetings,Mar-a-Lago,Out-of-Town Travel Pool,,,,
2/13/2026,,Friday,President Schedule,"TBD: The President and the First Lady depart the White House en route Fayetteville, North Carolina ",The White House,Out-of-Town Travel Pool,,,Array,
2/13/2026,,Friday,President Schedule,TBD: The President and the First Lady participate in a Private Military Engagement,"Fort Bragg, NC",Out-of-Town Travel Pool,,,,
2/13/2026,,Friday,President Schedule,"TBD: The President and the First Lady depart Fayetteville, North Carolina, en route Palm Beach, Florida","Fort Bragg, NC",Out-of-Town Travel Pool,,,,
2/13/2026,12:05:00,Friday,Pool Report Schedule,The President departs the White House for Joint Base Andrews,South Lawn,,,,,
2/13/2026,12:14:00,Friday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
2/13/2026,12:28:00,Friday,Pool Report Schedule,"The President departs Joint Base Andrews for Pope Field, North Carolina",Joint Base Andrews,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-before-marine-one-departure-february-13-2026/,,
2/13/2026,13:14:00,Friday,Pool Report Schedule,"The President arrives at Pope Field, North Carolina","Pope Field, Fort Bragg, NC",,,,,
2/13/2026,13:30:00,Friday,President Schedule,The President delivers remarks to Fort Bragg Military Families,"Pope Field, Fort Bragg, NC",Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-speech-military-families-fort-bragg-february-13-2026/,,
2/13/2026,14:15:00,Friday,Pool Report Schedule,The President meets privately with service members who participated in Operation Absolute Resolve,"Pope Field, Fort Bragg, NC",Out-of-Town Travel Pool,,,,
2/13/2026,16:22:00,Friday,Pool Report Schedule,"The President departs Pope Field, North Carolina for Palm Beach International Airport","Pope Field, Fort Bragg, NC",Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-before-air-force-one-departure-february-13-2026/,,
2/13/2026,17:38:00,Friday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,Out-of-Town Travel Pool,,,,
